open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,bearish_fractal,bullish_fractal
2024-10-22 06:00:00,67579.99,67800.0,67572.0,67572.01,992.83241,2024-10-22 06:59:59.999,67233660.44565380,96701,591.11485000,40032902.26357260,0,True,False
2024-10-22 07:00:00,67572.0,67696.97,67386.04,67402.0,598.06763,2024-10-22 07:59:59.999,40398332.17077280,66169,316.16769000,21354880.01607890,0,False,False
2024-10-22 08:00:00,67402.0,67402.14,66900.0,66934.07,1660.35676,2024-10-22 08:59:59.999,111444969.47599280,177245,621.81331000,41730424.19191060,0,False,False
2024-10-22 09:00:00,66934.08,67127.71,66740.0,66960.02,1798.41018,2024-10-22 09:59:59.999,120332796.03220930,231211,838.01100000,56080937.28283140,0,False,True
2024-10-22 10:00:00,66960.02,67240.0,66868.53,67184.56,1590.12437,2024-10-22 10:59:59.999,106627045.55768260,141424,908.43056000,60909322.22455130,0,False,False
2024-10-22 11:00:00,67184.56,67526.67,67166.95,67299.15,904.03864,2024-10-22 11:59:59.999,60888934.05977410,135124,455.74191000,30696718.29382810,0,True,False
2024-10-22 12:00:00,67299.15,67474.23,66860.0,66984.0,964.61675,2024-10-22 12:59:59.999,64727172.00304520,178712,442.81717000,29715744.88584470,0,False,False
2024-10-22 13:00:00,66984.0,67175.0,66644.18,66998.21,1827.6462,2024-10-22 13:59:59.999,122328246.60531810,319472,817.38809000,54724371.71155020,0,False,True
2024-10-22 14:00:00,66998.21,67686.67,66828.0,67559.03,2285.92003,2024-10-22 14:59:59.999,153976791.98781040,480329,1305.02249000,87917513.64273600,0,False,False
2024-10-22 15:00:00,67559.03,67693.34,67105.65,67282.27,1155.40221,2024-10-22 15:59:59.999,77838282.45725780,235042,513.89962000,34619070.80594410,0,True,False
2024-10-22 16:00:00,67282.27,67282.28,66920.0,66966.07,968.42904,2024-10-22 16:59:59.999,64947578.81412210,185331,405.16856000,27166540.53203780,0,False,False
2024-10-22 17:00:00,66966.06,67435.0,66946.5,67331.58,952.92437,2024-10-22 17:59:59.999,64080085.00247450,166659,631.78115000,42475263.89655800,0,False,False
2024-10-22 18:00:00,67331.58,67534.19,67246.79,67385.0,1006.37813,2024-10-22 18:59:59.999,67847475.23607370,119132,729.79487000,49198812.21786580,0,False,False
2024-10-22 19:00:00,67385.0,67635.72,67343.81,67482.98,701.61513,2024-10-22 19:59:59.999,47369592.34439560,116623,376.37401000,25407524.02466000,0,True,False
2024-10-22 20:00:00,67482.99,67575.57,67422.12,67532.0,447.5872,2024-10-22 20:59:59.999,30217348.75499190,69738,302.86469000,20447810.20560300,0,False,False
2024-10-22 21:00:00,67532.0,67550.0,67415.3,67534.85,244.98103,2024-10-22 21:59:59.999,16524654.70247460,37064,138.66855000,9352929.32803770,0,False,False
2024-10-22 22:00:00,67534.85,67836.01,67491.05,67724.0,618.02795,2024-10-22 22:59:59.999,41829112.07211420,81361,303.17969000,20520147.45599830,0,True,False
2024-10-22 23:00:00,67724.0,67773.94,67292.0,67426.0,359.58104,2024-10-22 23:59:59.999,24282926.59540040,62099,139.83061000,9440443.41649970,0,False,False
2024-10-23 00:00:00,67426.01,67472.83,67130.43,67179.13,577.86445,2024-10-23 00:59:59.999,38856655.94929450,129987,259.03621000,17418389.77957100,0,False,False
2024-10-23 01:00:00,67179.13,67386.94,67179.13,67348.46,393.55985,2024-10-23 01:59:59.999,26483283.42330240,71709,195.69149000,13166942.21772700,0,False,False
2024-10-23 02:00:00,67348.46,67386.93,67068.28,67096.0,581.36673,2024-10-23 02:59:59.999,39062967.26570060,94457,200.62056000,13482233.95647130,0,False,False
2024-10-23 03:00:00,67095.99,67180.92,66890.0,67082.1,639.25878,2024-10-23 03:59:59.999,42838409.11328390,111648,280.36798000,18787741.28228520,0,False,True
